Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
James Ellington,Great Britain,26,179,81,M,Athletics,Men's 200m,,,,
Joel Redhead,Grenada,26,187,60,M,Athletics,Men's 200m,,,,
Paul Hession,Ireland,29,184,75,M,Athletics,Men's 200m,,,,
Warren Weir,Jamaica,22,178,75,M,Athletics,Men's 200m,YES,,,1
Vyacheslav Muravyev,Kazakhstan,30,186,82,M,Athletics,Men's 200m,,,,
Mosito Lehata,Lesotho,23,177,69,M,Athletics,Men's 200m,,,,
Jidou El Moctar,Mauritania,27,170,65,M,Athletics,Men's 200m,,,,
Jose Carlos Herrera,Mexico,26,187,77,M,Athletics,Men's 200m,,,,
Noah Akwu,Nigeria,21,160,74,M,Athletics,Men's 200m,,,,
Alonso Edward,Panama,22,,,M,Athletics,Men's 200m,,,,
Zhenye Xie,People's Republic of China,18,178,130,M,Athletics,Men's 200m,,,,
Arnaldo Abrantes,Portugal,25,184,78,M,Athletics,Men's 200m,,,,
Jean-Yves Esparon,Seychelles,17,,,M,Athletics,Men's 200m,,,,
Anaso Jobodwana,South Africa,20,187,71,M,Athletics,Men's 200m,,,,
Sibusiso Matsenjwa,Swaziland,24,180,81,M,Athletics,Men's 200m,,,,
Alex Wilson,Switzerland,21,182,78,M,Athletics,Men's 200m,,,,
Reto Schenkel,Switzerland,24,183,89,M,Athletics,Men's 200m,,,,
Serhiy Smelyk,Ukraine,25,178,71,M,Athletics,Men's 200m,,,,
Isiah Young,United States of America,22,180,79,M,Athletics,Men's 200m,,,,
Maurice Mitchell,United States of America,22,180,74,M,Athletics,Men's 200m,,,,
Wallace Spearmon,United States of America,27,191,79,M,Athletics,Men's 200m,,,,
Aldemir da Silva Junior,Brazil,20,,,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Bruno de Barros,Brazil,25,,85,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Sandro Viana,Brazil,35,,,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Christophe Lemaitre,France,22,190,74,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Shinji Takahira,Japan,28,180,60,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Shota Iizuka,Japan,21,185,78,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Kamil Krynski,Poland,25,187,88,M,Athletics,"Men's 200m, Men's 4 x 100m Relay",,,,
Kei Takase,Japan,23,179,62,M,Athletics,"Men's 200m, Men's 4 x 400m Relay",,,,
Pavel Maslak,Czech Republic,21,176,67,M,Athletics,"Men's 200m, Men's 400m",,,,
Juan Manuel Cano,Argentina,24,168,60,M,Athletics,Men's 20km Race Walk,,,,
Adam Rutter,Australia,25,173,60,M,Athletics,Men's 20km Race Walk,,,,
Dzianis Simanovich,Belarus,25,178,63,M,Athletics,Men's 20km Race Walk,,,,
Caio Bonfim,Brazil,21,,,M,Athletics,Men's 20km Race Walk,,,,
Inaki Gomez,Canada,24,172,60,M,Athletics,Men's 20km Race Walk,,,,
Yerko Araya,Chile,26,177,65,M,Athletics,Men's 20km Race Walk,,,,
Eider Arevalo,Colombia,19,,,M,Athletics,Men's 20km Race Walk,,,,
James Rendon,Colombia,27,170,60,M,Athletics,Men's 20km Race Walk,,,,
Luis Fernando Lopez,Colombia,33,170,60,M,Athletics,Men's 20km Race Walk,,,,
Mauricio Arteaga,Ecuador,23,178,62,M,Athletics,Men's 20km Race Walk,,,,
Mate Helebrandt,Hungary,23,174,60,M,Athletics,Men's 20km Race Walk,,,,
Baljinder Singh,India,25,,,M,Athletics,Men's 20km Race Walk,,,,
Gurmeet Singh,India,27,,,M,Athletics,Men's 20km Race Walk,,,,
Irfan Kolothum Thodi,India,22,,,M,Athletics,Men's 20km Race Walk,,,,
Giorgio Rubino,Italy,26,170,77,M,Athletics,Men's 20km Race Walk,,,,
Isamu Fujisawa,Japan,24,164,56,M,Athletics,Men's 20km Race Walk,,,,
Takumi Saito,Japan,19,178,61,M,Athletics,Men's 20km Race Walk,,,,
Yusuke Suzuki,Japan,24,169,57,M,Athletics,Men's 20km Race Walk,,,,
Arnis Rumbenieks,Latvia,24,175,65,M,Athletics,Men's 20km Race Walk,,,,
Marius Ziukas,Lithuania,27,184,72,M,Athletics,Men's 20km Race Walk,,,,
Eder Sanchez,Mexico,26,176,66,M,Athletics,Men's 20km Race Walk,,,,
Ever Palma,Mexico,20,176,66,M,Athletics,Men's 20km Race Walk,,,,
Isaac Palma,Mexico,21,174,69,M,Athletics,Men's 20km Race Walk,,,,
Erik Tysse,Norway,31,,,M,Athletics,Men's 20km Race Walk,,,,
Ding Chen,People's Republic of China,19,180,62,M,Athletics,Men's 20km Race Walk,YES,1,,
Zelin Cai,People's Republic of China,21,172,55,M,Athletics,Men's 20km Race Walk,,,,
Zhen Wang,People's Republic of China,20,180,62,M,Athletics,Men's 20km Race Walk,YES,,,1
Dawid Tomala,Poland,22,182,66,M,Athletics,Men's 20km Race Walk,,,,
Grzegorz Sudol,Poland,33,175,64,M,Athletics,Men's 20km Race Walk,,,,
Hyunsub Kim,Republic of Korea,27,175,53,M,Athletics,Men's 20km Race Walk,,,,
Youngjun Byun,Republic of Korea,28,175,58,M,Athletics,Men's 20km Race Walk,,,,
Andrey Krivov,Russian Federation,26,185,72,M,Athletics,Men's 20km Race Walk,,,,
Valeriy Borchin,Russian Federation,25,178,63,M,Athletics,Men's 20km Race Walk,,,,
Vladimir Kanaykin,Russian Federation,27,170,65,M,Athletics,Men's 20km Race Walk,,,,
Predrag Filipovic,Serbia,33,182,73,M,Athletics,Men's 20km Race Walk,,,,
Anton Kucmin,Slovakia,28,180,68,M,Athletics,Men's 20km Race Walk,,,,
Alvaro Martin,Spain,18,182,72,M,Athletics,Men's 20km Race Walk,,,,
Miguel Angel Lopez,Spain,24,181,70,M,Athletics,Men's 20km Race Walk,,,,
Hassanine Sebei,Tunisia,28,177,56,M,Athletics,Men's 20km Race Walk,,,,
Ivan Losev,Ukraine,26,177,70,M,Athletics,Men's 20km Race Walk,,,,
Nazar Kovalenko,Ukraine,25,178,70,M,Athletics,Men's 20km Race Walk,,,,
Ruslan Dmytrenko,Ukraine,26,180,67,M,Athletics,Men's 20km Race Walk,,,,
Trevor Barron,United States of America,19,191,73,M,Athletics,Men's 20km Race Walk,,,,
Jared Tallent,Australia,27,178,58,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Bertrand Moulinet,France,25,177,64,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Andre Hohne,Germany,34,185,72,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Alexandros Papamihail,Greece,23,175,62,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Erick Barrondo,Guatemala,21,172,60,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",YES,,1,
Robert Heffernan,Ireland,34,171,58,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Rafal Augustyn,Poland,28,179,73,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Joao Vieira,Portugal,36,175,59,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Chilsung Park,Republic of Korea,30,173,62,M,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",,,,
Mohamed Khaled Belabbas,Algeria,31,178,70,M,Athletics,Men's 3000m Steeplechase,,,,
Youcef Abdi,Australia,34,177,66,M,Athletics,Men's 3000m Steeplechase,,,,
Alex Genest,Canada,26,178,61,M,Athletics,Men's 3000m Steeplechase,,,,
Nahom Mesfin,Ethiopia,23,180,62,M,Athletics,Men's 3000m Steeplechase,,,,
Roba Gari,Ethiopia,30,180,62,M,Athletics,Men's 3000m Steeplechase,,,,
Jukka Keskisalo,Finland,31,185,66,M,Athletics,Men's 3000m Steeplechase,,,,
Mahiedine Mekhissi-Benabbad,France,27,187,75,M,Athletics,Men's 3000m Steeplechase,YES,,1,
Vincent Zouaoui-Dandrieux,France,31,187,78,M,Athletics,Men's 3000m Steeplechase,,,,
Steffen Uliczka,Germany,28,180,65,M,Athletics,Men's 3000m Steeplechase,,,,
Stuart Stokes,Great Britain,35,181,65,M,Athletics,Men's 3000m Steeplechase,,,,
Albert Minczer,Hungary,25,179,63,M,Athletics,Men's 3000m Steeplechase,,,,
Yuri Floriani,Italy,30,180,64,M,Athletics,Men's 3000m Steeplechase,,,,
Artem Kosinov,Kazakhstan,26,182,67,M,Athletics,Men's 3000m Steeplechase,,,,
Abel Kiprop Mutai,Kenya,23,187,73,M,Athletics,Men's 3000m Steeplechase,YES,,,1
Brimin Kiprop Kipruto,Kenya,27,175,55,M,Athletics,Men's 3000m Steeplechase,,,,
Ezekiel Kemboi,Kenya,30,,,M,Athletics,Men's 3000m Steeplechase,YES,1,,
Brahim Taleb,Morocco,30,181,61,M,Athletics,Men's 3000m Steeplechase,,,,
Hamid Ezzine,Morocco,28,174,62,M,Athletics,Men's 3000m Steeplechase,,,,
Hicham Sigueni,Morocco,19,172,61,M,Athletics,Men's 3000m Steeplechase,,,,
Mario Bazan,Peru,24,175,64,M,Athletics,Men's 3000m Steeplechase,,,,
Lukasz Parszczynski,Poland,27,180,66,M,Athletics,Men's 3000m Steeplechase,,,,
Alberto Paulo,Portugal,26,174,59,M,Athletics,Men's 3000m Steeplechase,,,,
Ion Luchianov,Republic of Moldova,31,178,72,M,Athletics,Men's 3000m Steeplechase,,,,
Nikolay Chavkin,Russian Federation,28,189,74,M,Athletics,Men's 3000m Steeplechase,,,,
Ali Ahmed Al-Amri,Saudi Arabia,27,,,M,Athletics,Men's 3000m Steeplechase,,,,
Abdelaziz Merzougui,Spain,20,175,62,M,Athletics,Men's 3000m Steeplechase,,,,
Angel Mullera,Spain,28,178,60,M,Athletics,Men's 3000m Steeplechase,,,,
Sebastian Martos,Spain,23,178,63,M,Athletics,Men's 3000m Steeplechase,,,,
Victor Garcia,Spain,27,173,57,M,Athletics,Men's 3000m Steeplechase,,,,
Amor Ben Yahia,Tunisia,27,176,54,M,Athletics,Men's 3000m Steeplechase,,,,
Tarik Langat Akdag,Turkey,24,,,M,Athletics,Men's 3000m Steeplechase,,,,
Benjamin Kiplagat,Uganda,23,183,65,M,Athletics,Men's 3000m Steeplechase,,,,
Jacob Araptany,Uganda,18,168,58,M,Athletics,Men's 3000m Steeplechase,,,,
Vadym Slobodenyuk,Ukraine,31,187,77,M,Athletics,Men's 3000m Steeplechase,,,,
Donald Cabral,United States of America,22,178,67,M,Athletics,Men's 3000m Steeplechase,,,,
Evan Jager,United States of America,23,188,66,M,Athletics,Men's 3000m Steeplechase,,,,
Kyle Alcorn,United States of America,27,185,74,M,Athletics,Men's 3000m Steeplechase,,,,
Jose Pena,Venezuela,25,165,56,M,Athletics,Men's 3000m Steeplechase,,,,
Andrew McCabe,Australia,21,188,83,M,Athletics,Men's 4 x 100m Relay,,,,
Anthony Alozie,Australia,25,171,79,M,Athletics,Men's 4 x 100m Relay,,,,
Isaac Ntiamoah,Australia,29,172,75,M,Athletics,Men's 4 x 100m Relay,,,,
Joshua Ross,Australia,31,185,83,M,Athletics,Men's 4 x 100m Relay,,,,
Tim Leathart,Australia,22,180,80,M,Athletics,Men's 4 x 100m Relay,,,,
Carlos Roberto de Moraes Jr,Brazil,22,,,M,Athletics,Men's 4 x 100m Relay,,,,
Jose Carlos Moreira,Brazil,28,172,76,M,Athletics,Men's 4 x 100m Relay,,,,
Akeem Haynes,Canada,20,168,150,M,Athletics,Men's 4 x 100m Relay,,,,
Gavin Smellie,Canada,26,180,80,M,Athletics,Men's 4 x 100m Relay,,,,
Ian Warner,Canada,22,170,160,M,Athletics,Men's 4 x 100m Relay,,,,
Oluseyi Smith,Canada,25,190,95,M,Athletics,Men's 4 x 100m Relay,,,,
Oluwasegun Makinde,Canada,21,179,84,M,Athletics,Men's 4 x 100m Relay,,,,
Ben Bassaw,France,23,183,77,M,Athletics,Men's 4 x 100m Relay,,,,
Emmanuel Biron,France,24,177,65,M,Athletics,Men's 4 x 100m Relay,,,,
Pierre-Alexis Pessonneaux,France,24,181,70,M,Athletics,Men's 4 x 100m Relay,,,,
Ronald Pognon,France,29,185,71,M,Athletics,Men's 4 x 100m Relay,,,,
Alexander Kosenkow,Germany,35,178,72,M,Athletics,Men's 4 x 100m Relay,,,,
Lucas Jakubczyk,Germany,27,183,78,M,Athletics,Men's 4 x 100m Relay,,,,
Martin Keller,Germany,25,180,84,M,Athletics,Men's 4 x 100m Relay,,,,
Sven Knipphals,Germany,26,189,90,M,Athletics,Men's 4 x 100m Relay,,,,
Tobias Unger,Germany,33,180,74,M,Athletics,Men's 4 x 100m Relay,,,,
Daniel Talbot,Great Britain,21,184,69,M,Athletics,Men's 4 x 100m Relay,,,,
Mark Lewis-Francis,Great Britain,29,180,95,M,Athletics,Men's 4 x 100m Relay,,,,
Simeon Williamson,Great Britain,26,186,95,M,Athletics,Men's 4 x 100m Relay,,,,
Chi Ho Tsui,"Hong Kong, China",22,171,62,M,Athletics,Men's 4 x 100m Relay,,,,
Chun Ho Lai,"Hong Kong, China",23,171,64,M,Athletics,Men's 4 x 100m Relay,,,,
Ka Fung Ng,"Hong Kong, China",19,180,77,M,Athletics,Men's 4 x 100m Relay,,,,
Man Lok Ho,"Hong Kong, China",20,177,67,M,Athletics,Men's 4 x 100m Relay,,,,
Yik Chun Tang,"Hong Kong, China",26,177,67,M,Athletics,Men's 4 x 100m Relay,,,,
Davide Manenti,Italy,23,,,M,Athletics,Men's 4 x 100m Relay,,,,
Diego Marani,Italy,22,,,M,Athletics,Men's 4 x 100m Relay,,,,
Fabio Cerutti,Italy,26,190,83,M,Athletics,Men's 4 x 100m Relay,,,,
Jacques Riparelli,Italy,29,183,81,M,Athletics,Men's 4 x 100m Relay,,,,
Rosario la Mastra,Italy,28,,,M,Athletics,Men's 4 x 100m Relay,,,,
Simone Collio,Italy,32,180,77,M,Athletics,Men's 4 x 100m Relay,,,,
Kemar Bailey-Cole,Jamaica,20,193,83,M,Athletics,Men's 4 x 100m Relay,,,,
Nesta Carter,Jamaica,26,173,78,M,Athletics,Men's 4 x 100m Relay,,,,
Takumi Kuki,Japan,20,170,64,M,Athletics,Men's 4 x 100m Relay,,,,
Brian Mariano,Netherlands,27,182,86,M,Athletics,Men's 4 x 100m Relay,,,,
Giovanni Codrington,Netherlands,24,177,80,M,Athletics,Men's 4 x 100m Relay,,,,
Jerrel Feller,Netherlands,25,170,73,M,Athletics,Men's 4 x 100m Relay,,,,
Patrick van Luijk,Netherlands,27,189,87,M,Athletics,Men's 4 x 100m Relay,,,,
Wouter Brus,Netherlands,20,180,77,M,Athletics,Men's 4 x 100m Relay,,,,
Jiahong Liang,People's Republic of China,24,184,84,M,Athletics,Men's 4 x 100m Relay,,,,
Peimeng Zhang,People's Republic of China,25,186,86,M,Athletics,Men's 4 x 100m Relay,,,,
Yi Lao,People's Republic of China,26,176,65,M,Athletics,Men's 4 x 100m Relay,,,,
Artur Zaczek,Poland,23,182,78,M,Athletics,Men's 4 x 100m Relay,,,,
Jakub Adamski,Poland,24,183,75,M,Athletics,Men's 4 x 100m Relay,,,,
Kamil Masztak,Poland,28,186,81,M,Athletics,Men's 4 x 100m Relay,,,,
Robert Kubaczyk,Poland,25,177,73,M,Athletics,Men's 4 x 100m Relay,,,,
Brijesh Lawrence,Saint Kitts and Nevis,22,180,93,M,Athletics,Men's 4 x 100m Relay,,,,
Delwayne Delaney,Saint Kitts and Nevis,29,168,73,M,Athletics,Men's 4 x 100m Relay,,,,
Lestrod Roland,Saint Kitts and Nevis,19,165,54,M,Athletics,Men's 4 x 100m Relay,,,,
Emmanuel Callender,Trinidad and Tobago,28,189,86,M,Athletics,Men's 4 x 100m Relay,,,,
Jamol James,Trinidad and Tobago,20,157,65,M,Athletics,Men's 4 x 100m Relay,,,,
Darvis Patton,United States of America,34,183,79,M,Athletics,Men's 4 x 100m Relay,,,,
Jeffery Demps,United States of America,22,175,82,M,Athletics,Men's 4 x 100m Relay,,,,
Trell Kimmons,United States of America,27,173,77,M,Athletics,Men's 4 x 100m Relay,,,,
Ben Offereins,Australia,26,184,76,M,Athletics,Men's 4 x 400m Relay,,,,
Joel Milburn,Australia,26,182,75,M,Athletics,Men's 4 x 400m Relay,,,,
John Steffensen,Australia,29,180,71,M,Athletics,Men's 4 x 400m Relay,,,,
Andrae Williams,Bahamas,29,185,82,M,Athletics,Men's 4 x 400m Relay,,,,
Avard Moncur,Bahamas,33,,,M,Athletics,Men's 4 x 400m Relay,,,,
Wesley Neymour,Bahamas,23,193,82,M,Athletics,Men's 4 x 400m Relay,,,,
Antoine Gillet,Belgium,24,185,73,M,Athletics,Men's 4 x 400m Relay,,,,
Arnaud Ghislain,Belgium,23,182,69,M,Athletics,Men's 4 x 400m Relay,,,,
Jente Bouckaert,Belgium,22,190,75,M,Athletics,Men's 4 x 400m Relay,,,,
Nils Duerinck,Belgium,28,183,75,M,Athletics,Men's 4 x 400m Relay,,,,
Noel Ruiz,Cuba,25,,,M,Athletics,Men's 4 x 400m Relay,,,,
Orestes Rodriguez,Cuba,23,,,M,Athletics,Men's 4 x 400m Relay,,,,
Raidel Acea,Cuba,21,,,M,Athletics,Men's 4 x 400m Relay,,,,
William Collazo,Cuba,25,,,M,Athletics,Men's 4 x 400m Relay,,,,
Arismendy Peguero,Dominican Republic,32,180,80,M,Athletics,Men's 4 x 400m Relay,,,,
Gustavo Cuesta,Dominican Republic,23,183,80,M,Athletics,Men's 4 x 400m Relay,,,,
Joel Mejia,Dominican Republic,21,178,65,M,Athletics,Men's 4 x 400m Relay,,,,
Yon Soriano,Dominican Republic,25,170,68,M,Athletics,Men's 4 x 400m Relay,,,,
Benjamin Jonas,Germany,22,194,82,M,Athletics,Men's 4 x 400m Relay,,,,
Eric Kruger,Germany,24,175,74,M,Athletics,Men's 4 x 400m Relay,,,,
Jonas Plass,Germany,26,183,75,M,Athletics,Men's 4 x 400m Relay,,,,
Kamghe Gaba,Germany,28,202,96,M,Athletics,Men's 4 x 400m Relay,,,,
Thomas Schneider,Germany,23,185,83,M,Athletics,Men's 4 x 400m Relay,,,,
Luke Lennon-Ford,Great Britain,23,183,75,M,Athletics,Men's 4 x 400m Relay,,,,
Richard Buck,Great Britain,25,188,80,M,Athletics,Men's 4 x 400m Relay,,,,
Edino Steele,Jamaica,25,178,72,M,Athletics,Men's 4 x 400m Relay,,,,
Riker Hylton,Jamaica,23,168,61,M,Athletics,Men's 4 x 400m Relay,,,,
Hiroyuki Nakano,Japan,23,173,67,M,Athletics,Men's 4 x 400m Relay,,,,
Yoshihiro Azuma,Japan,21,172,60,M,Athletics,Men's 4 x 400m Relay,,,,
Alphas Leken Kishoyian,Kenya,18,162,56,M,Athletics,Men's 4 x 400m Relay,,,,
Anderson Mureta Mutegi,Kenya,25,,,M,Athletics,Men's 4 x 400m Relay,,,,
Boniface Ontuga Mweresa,Kenya,18,170,70,M,Athletics,Men's 4 x 400m Relay,,,,
Mark Kiprotich Muttai,Kenya,34,172,58,M,Athletics,Men's 4 x 400m Relay,,,,
Vincent Mumo Kiilu,Kenya,30,160,67,M,Athletics,Men's 4 x 400m Relay,,,,
Kacper Kozlowski,Poland,25,177,70,M,Athletics,Men's 4 x 400m Relay,,,,
Kamil Budziejewski,Poland,23,,,M,Athletics,Men's 4 x 400m Relay,,,,
Michal Pietrzak,Poland,23,185,77,M,Athletics,Men's 4 x 400m Relay,,,,
Patryk Dobek,Poland,18,186,72,M,Athletics,Men's 4 x 400m Relay,,,,
Piotr Wiaderek,Poland,28,185,78,M,Athletics,Men's 4 x 400m Relay,,,,
Denis Alekseyev,Russian Federation,24,186,75,M,Athletics,Men's 4 x 400m Relay,,,,
Sergey Petukhov,Russian Federation,28,186,83,M,Athletics,Men's 4 x 400m Relay,,,,
Valentin Kruglyakov,Russian Federation,26,188,85,M,Athletics,Men's 4 x 400m Relay,,,,
Vladimir Krasnov,Russian Federation,21,190,70,M,Athletics,Men's 4 x 400m Relay,,,,
Ofentse Mogawane,South Africa,30,188,69,M,Athletics,Men's 4 x 400m Relay,,,,
Shaun de Jager,South Africa,21,186,68,M,Athletics,Men's 4 x 400m Relay,,,,
Willem de Beer,South Africa,24,188,73,M,Athletics,Men's 4 x 400m Relay,,,,
Ade Alleyne-Forte,Trinidad and Tobago,23,180,73,M,Athletics,Men's 4 x 400m Relay,,,,
Jarrin Solomon,Trinidad and Tobago,26,165,73,M,Athletics,Men's 4 x 400m Relay,,,,
Machel Cedenio,Trinidad and Tobago,16,183,70,M,Athletics,Men's 4 x 400m Relay,,,,
Jeremy Wariner,United States of America,28,185,71,M,Athletics,Men's 4 x 400m Relay,,,,
Joshua Mance,United States of America,20,191,82,M,Athletics,Men's 4 x 400m Relay,,,,
Manteo Mitchell,United States of America,25,185,79,M,Athletics,Men's 4 x 400m Relay,,,,
Alberto Aguilar,Venezuela,27,194,80,M,Athletics,Men's 4 x 400m Relay,,,,
Arturo Ramirez,Venezuela,21,170,65,M,Athletics,Men's 4 x 400m Relay,,,,
Jose Melendez,Venezuela,19,170,65,M,Athletics,Men's 4 x 400m Relay,,,,
Omar Longart,Venezuela,21,172,69,M,Athletics,Men's 4 x 400m Relay,,,,
Mathieu Gnanligo,Benin,25,180,76,M,Athletics,Men's 400m,,,,
Isaac Makwala,Botswana,26,,,M,Athletics,Men's 400m,,,,
Ak Hafiy Tajuddin Rositi,Brunei Darussalam,21,175,64,M,Athletics,Men's 400m,,,,
Daundre Barnaby,Canada,21,189,75,M,Athletics,Men's 400m,,,,
Diego Palomeque,Colombia,18,176,68,M,Athletics,Men's 400m,,,,
Nery Brenes,Costa Rica,26,175,70,M,Athletics,Men's 400m,,,,
Erison Hurtault,Dominica,27,168,73,M,Athletics,Men's 400m,,,,
Bereket Desta,Ethiopia,22,180,63,M,Athletics,Men's 400m,,,,
Kristijan Efremov,Former Yugoslav Republic of Macedonia,21,184,72,M,Athletics,Men's 400m,,,,
Kirani James,Grenada,19,180,66,M,Athletics,Men's 400m,YES,1,,
Rondell Bartholomew,Grenada,22,184,60,M,Athletics,Men's 400m,,,,
Winston George,Guyana,25,,,M,Athletics,Men's 400m,,,,
Marcell Deak Nagy,Hungary,20,,,M,Athletics,Men's 400m,,,,
Liemarvin Bonevacia,Independent Olympic Athletes,23,180,81,M,Athletics,Men's 400m,,,,
Sajjad Hashemiahangari,Islamic Republic of Iran,20,178,69,M,Athletics,Men's 400m,,,,
Donald Sanford,Israel,25,195,80,M,Athletics,Men's 400m,,,,
Sergej Zaikov,Kazakhstan,24,190,76,M,Athletics,Men's 400m,,,,
Janis Leitis,Latvia,23,190,75,M,Athletics,Men's 400m,,,,
Zaw Win Thet,Myanmar,21,162,55,M,Athletics,Men's 400m,,,,
Ahmed Mohamed Al-Merjabi,Oman,21,170,65,M,Athletics,Men's 400m,,,,
Bahaa Al Farra,Palestine,21,175,65,M,Athletics,Men's 400m,,,,
Nelson Stone,Papua New Guinea,28,179,75,M,Athletics,Men's 400m,,,,
Augusto Stanley,Paraguay,25,189,80,M,Athletics,Men's 400m,,,,
Yousef Ahmed Masrahi,Saudi Arabia,24,,,M,Athletics,Men's 400m,,,,
Rabah Yousif,Sudan,25,184,71,M,Athletics,Men's 400m,,,,
Vitaliy Butrym,Ukraine,21,178,67,M,Athletics,Men's 400m,,,,
Tabarie Henry,"Virgin Islands, US",24,185,77,M,Athletics,Men's 400m,,,,
Michael Bultheel,Belgium,26,189,81,M,Athletics,Men's 400m Hurdles,,,,
Kenneth Medwood,Belize,24,178,75,M,Athletics,Men's 400m Hurdles,,,,
Maoulida Daroueche,Comoros,22,175,70,M,Athletics,Men's 400m Hurdles,,,,
Josef Prorok,Czech Republic,24,190,81,M,Athletics,Men's 400m Hurdles,,,,
Winder Cuevas,Dominican Republic,24,170,65,M,Athletics,Men's 400m Hurdles,,,,
Rasmus Magi,Estonia,20,188,74,M,Athletics,Men's 400m Hurdles,,,,
Silvio Schirrmeister,Germany,23,193,82,M,Athletics,Men's 400m Hurdles,,,,
David Greene,Great Britain,26,185,78,M,Athletics,Men's 400m Hurdles,,,,
Jack Green,Great Britain,20,194,80,M,Athletics,Men's 400m Hurdles,,,,
Rhys Williams,Great Britain,28,185,73,M,Athletics,Men's 400m Hurdles,,,,
Periklis Iakovakis,Greece,33,183,77,M,Athletics,Men's 400m Hurdles,,,,
Jose Reynaldo Bencosme de Leon,Italy,20,185,73,M,Athletics,Men's 400m Hurdles,,,,
Leford Green,Jamaica,25,191,91,M,Athletics,Men's 400m Hurdles,,,,
Roxroy Cato,Jamaica,24,183,77,M,Athletics,Men's 400m Hurdles,,,,
Akihiko Nakamura,Japan,21,180,73,M,Athletics,Men's 400m Hurdles,,,,
Takayuki Kishimoto,Japan,22,170,60,M,Athletics,Men's 400m Hurdles,,,,
Tetsuya Tateno,Japan,20,177,73,M,Athletics,Men's 400m Hurdles,,,,
Viktor Leptikov,Kazakhstan,25,196,80,M,Athletics,Men's 400m Hurdles,,,,
Vincent Kiplangat Kosgei,Kenya,26,172,62,M,Athletics,Men's 400m Hurdles,,,,
Kurt Couto,Mozambique,27,180,71,M,Athletics,Men's 400m Hurdles,,,,
Amaechi Morton,Nigeria,22,,,M,Athletics,Men's 400m Hurdles,,,,
Wen Cheng,People's Republic of China,23,188,76,M,Athletics,Men's 400m Hurdles,,,,
Zhilong Li,People's Republic of China,24,180,70,M,Athletics,Men's 400m Hurdles,,,,
Jorge Paula,Portugal,27,190,85,M,Athletics,Men's 400m Hurdles,,,,
Eric Alejandro,Puerto Rico,26,,83,M,Athletics,Men's 400m Hurdles,,,,
Jamele Mason,Puerto Rico,22,,,M,Athletics,Men's 400m Hurdles,,,,
Javier Culson,Puerto Rico,28,,,M,Athletics,Men's 400m Hurdles,YES,,,1
Viacheslav Sakaev,Russian Federation,24,178,65,M,Athletics,Men's 400m Hurdles,,,,
Mamadou Kasse Hanne,Senegal,25,172,70,M,Athletics,Men's 400m Hurdles,,,,
Emir Bekric,Serbia,21,195,88,M,Athletics,Men's 400m Hurdles,,,,
Brent Larue,Slovenia,25,193,85,M,Athletics,Men's 400m Hurdles,,,,
Kariem Hussein,Switzerland,23,190,77,M,Athletics,Men's 400m Hurdles,,,,
Chieh Chen,Taipei (Chinese Taipei),20,181,65,M,Athletics,Men's 400m Hurdles,,,,
Lankantien Lamboni,Togo,22,188,78,M,Athletics,Men's 400m Hurdles,,,,
Jehue Gordon,Trinidad and Tobago,20,188,81,M,Athletics,Men's 400m Hurdles,,,,
Stanislav Melnykov,Ukraine,25,183,72,M,Athletics,Men's 400m Hurdles,,,,
Kerron Clement,United States of America,26,188,86,M,Athletics,Men's 400m Hurdles,,,,
Michael Tinsley,United States of America,28,185,74,M,Athletics,Men's 400m Hurdles,YES,,1,
Andres Silva,Uruguay,26,179,76,M,Athletics,Men's 400m Hurdles,,,,
Artem Dyatlov,Uzbekistan,23,,,M,Athletics,Men's 400m Hurdles,,,,
Brendan Cole,Australia,31,187,78,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Tristan Thomas,Australia,26,185,70,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Amaurys R Valle,Cuba,22,,,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Omar Cisneros,Cuba,22,,,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Felix Sanchez,Dominican Republic,34,175,64,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",YES,1,,
Boniface Mucheru,Kenya,20,170,68,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
