Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3683966,4516131,4870137,4935762,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11552,18873,28640,29481,30245,30994,31731,32431,33108,33739,34339,34900
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9003,9420,10243,10340,10441,10531,10628,10725,10819,10908,11001,11097
"Population, total",SP.POP.TOTL,Uganda,UGA,17438907,24039274,30590487,31663896,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1860174,3154925,6044067,6894278,7666393,8270684,8672475,8900453,9006263,9070867,9154302,9269612
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65637239
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,301231207,304093966,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
"Population, total",SP.POP.TOTL,Uruguay,URY,3109989,3321245,3339741,3350824,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31848200
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146634,185063,219953,225340,230785,236295,241871,247485,253142,258850,264603,270402
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861956,24488340,27691965,28141701,28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,77630900,84218500,85118700,86025000,86932500,87860300,88809200,89759500,90728900,91713300,92701100
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108639,107423,107091,106707,106267,105784,105275,104737,104170,103574,102951
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,12057039,17874725,21751605,22356391,22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213
"Population, total",SP.POP.TOTL,Zambia,ZMB,8027253,10531221,12725974,13082517,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10183113,12222251,13329909,13558469,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/30/2017,,,,,,,,,,,,,,,
